Name,URL
Cinebench R20 - Multi-thread - Constant ~ AMD Wraith Prism - PBO off.RData,https://guestjim.shinyapps.io/OCC-CPU_Thermals/?_inputs_&dataSel="Cinebench R20 - Multi-thread - Constant ~ AMD Wraith Prism - PBO off.RData"
Cinebench R20 - Single-thread - Constant ~ AMD Wraith Prism - PBO off.RData,https://guestjim.shinyapps.io/OCC-CPU_Thermals/?_inputs_&dataSel="Cinebench R20 - Single-thread - Constant ~ AMD Wraith Prism - PBO off.RData"
Cinebench R20 - Multi-thread - Pulse ~ AMD Wraith Prism - PBO off.RData,https://guestjim.shinyapps.io/OCC-CPU_Thermals/?_inputs_&dataSel="Cinebench R20 - Multi-thread - Pulse ~ AMD Wraith Prism - PBO off.RData"
Cinebench R20 - Single-thread - Pulse ~ AMD Wraith Prism - PBO off.RData,https://guestjim.shinyapps.io/OCC-CPU_Thermals/?_inputs_&dataSel="Cinebench R20 - Single-thread - Pulse ~ AMD Wraith Prism - PBO off.RData"
Cinebench R20 - Multi-thread - Constant ~ AMD Wraith Prism - PBO on (3.4).RData,https://guestjim.shinyapps.io/OCC-CPU_Thermals/?_inputs_&dataSel="Cinebench R20 - Multi-thread - Constant ~ AMD Wraith Prism - PBO on (3.4).RData"
Cinebench R20 - Single-thread - Constant ~ AMD Wraith Prism - PBO on.RData,https://guestjim.shinyapps.io/OCC-CPU_Thermals/?_inputs_&dataSel="Cinebench R20 - Single-thread - Constant ~ AMD Wraith Prism - PBO on.RData"
Cinebench R20 - Multi-thread - Pulse ~ AMD Wraith Prism - PBO on.RData,https://guestjim.shinyapps.io/OCC-CPU_Thermals/?_inputs_&dataSel="Cinebench R20 - Multi-thread - Pulse ~ AMD Wraith Prism - PBO on.RData"
Cinebench R20 - Single-thread - Pulse ~ AMD Wraith Prism - PBO on.RData,https://guestjim.shinyapps.io/OCC-CPU_Thermals/?_inputs_&dataSel="Cinebench R20 - Single-thread - Pulse ~ AMD Wraith Prism - PBO on.RData"
Cinebench R20 - Multi-thread - Constant ~ Dark Rock 4 135 mm - PBO off.RData,https://guestjim.shinyapps.io/OCC-CPU_Thermals/?_inputs_&dataSel="Cinebench R20 - Multi-thread - Constant ~ Dark Rock 4 135 mm - PBO off.RData"
Cinebench R20 - Single-thread - Constant ~ Dark Rock 4 135 mm - PBO off.RData,https://guestjim.shinyapps.io/OCC-CPU_Thermals/?_inputs_&dataSel="Cinebench R20 - Single-thread - Constant ~ Dark Rock 4 135 mm - PBO off.RData"
Cinebench R20 - Multi-thread - Pulse ~ Dark Rock 4 135 mm - PBO off.RData,https://guestjim.shinyapps.io/OCC-CPU_Thermals/?_inputs_&dataSel="Cinebench R20 - Multi-thread - Pulse ~ Dark Rock 4 135 mm - PBO off.RData"
Cinebench R20 - Single-thread - Pulse ~ Dark Rock 4 135 mm - PBO off.RData,https://guestjim.shinyapps.io/OCC-CPU_Thermals/?_inputs_&dataSel="Cinebench R20 - Single-thread - Pulse ~ Dark Rock 4 135 mm - PBO off.RData"
Cinebench R20 - Multi-thread - Constant ~ Dark Rock 4 135 mm - PBO on.RData,https://guestjim.shinyapps.io/OCC-CPU_Thermals/?_inputs_&dataSel="Cinebench R20 - Multi-thread - Constant ~ Dark Rock 4 135 mm - PBO on.RData"
